step,id,x,y,z,vx,vy,vz,mass
0,1,-11540082278,-31573933795,66151116173,65916745830,5303067844,-67644438722,1.09962E+30
0,2,-63697865754,38139082382,30119941857,53181596502,56250895848,-25436461536,1.6402E+30
0,3,20255228753,41470255851,25934454585,-21105255396,65184749712,-51193178371,1.79526E+30
0,4,9740910455,-3827294106,-56340671220,72521179424,50650700203,-2486874198,1.70382E+30
0,5,59249153699,35672962319,-19151024610,26914410328,78740166305,22399727806,1.91713E+30
0,6,-85311677934,55540966599,-39856243467,-24379724239,-23380291615,18650986302,1.87001E+30
0,7,13615152389,-72350551968,51533520970,-45042622933,-89425629779,-9695967316,1.62297E+30
0,8,-23000451079,26632824372,-89937983789,2918277691,47288121034,11747415839,7.48755E+29
0,9,-29408352819,-28084836283,61548973778,41836939916,-86655553888,-48883276602,5.41524E+29
0,10,-81737027623,-55838606915,-38888841890,11041969899,-77083991969,-86832880574,4.54979E+29
0,11,-47502035169,-81905800948,-55872086859,48394660699,-31374781649,88019637089,1.24564E+30
0,12,11951311536,18083370725,-24264233164,23878175576,-17717508024,-26536891192,1.01198E+30
0,13,49342468163,-84338040694,32101796854,73150979923,-52981791283,24475346518,1.60175E+30
0,14,87239022335,-50465616509,25388388837,-50349021153,-24272990041,6132811945,1.93867E+30
0,15,-21227024797,-74664447169,-81675387469,-9538462750,-69503181727,-21124971811,2.3748E+28
0,16,-57974944269,-36641123550,68716108957,-84201473026,-56530432344,-70737779342,1.25626E+29
0,17,55236990151,3895993171,36246365809,67316067340,-28557654676,-30382304657,7.71018E+29
0,18,-49624704292,-56490262687,-73145054343,-59626467493,68868169148,-30894170655,6.92821E+29
0,19,-74343459327,89879171239,10127737708,43261034319,60911732356,-77859759127,9.49853E+29
0,20,-55598928974,-75031433706,25706347868,65233601654,-48953247370,-49543731500,1.11212E+30
0,21,40652628917,-21663543432,20264135615,29722739880,-46513305247,14686090127,1.76719E+30
0,22,-14164727322,44115591868,-64141401164,17227987685,27287444522,-76704732826,1.54217E+30
0,23,-18712748791,89307322092,64975667373,-117186732.4,38620150480,-21211798414,1.65278E+30
0,24,-58990280516,-22181606236,47516038588,39648428556,-41394381399,15972356373,2.28747E+29
0,25,-29725481611,-4231008918,-6570495916,-33720479474,75692445440,-24321210537,1.26022E+30
0,26,-64231975554,-14991236750,85665092070,-946064875.3,-73668488138,-64747783424,1.72926E+30
0,27,-16568428883,-89926006654,82940391002,-18019987652,-30073303659,81689729824,1.07369E+30
0,28,38696109805,19212203048,73429128435,69800302659,41061966681,-82834494819,1.47974E+30
0,29,-12482376228,-75866402342,73528659849,-27568258588,22737606235,28178038940,7.22684E+29
0,30,-25015749453,8357532056,26273540931,-21260349471,64211668381,89789795239,1.28316E+30
0,31,41205569932,-62829286527,-30574040148,-7664962079,-52213830064,-12958364285,1.32404E+30
0,32,35753666509,-47865135988,-8015890782,-69923410727,-83786292856,60911088848,2.01038E+29
0,33,-657270335.4,-21496771850,-38933086443,36899274087,-66293293105,67360555728,3.43777E+29
0,34,67873157725,23729247514,16036558660,20159828013,70685163357,-7738841428,5.19853E+29
0,35,36945974292,18895504949,-29578987272,-27280358505,36987905409,-35093612860,1.21692E+30
0,36,57822629935,-63575611315,-83414300065,-25903893167,-85207191795,7777358971,6.84511E+29
0,37,-19346953561,77848427386,-87551014970,6279796616,-7235803113,-64597828562,1.36024E+30
0,38,-50992894171,-84200994892,-70228939149,-2858126490,-81793324451,-73941483875,1.98301E+30
0,39,-68076097379,-34923135783,64710678097,42204416313,-84162343976,-3277374618,5.86969E+29
0,40,6761775583,52304321932,-21944201567,-28335056521,88348779956,-20235446556,3.31718E+29
0,41,-14500854237,86278581425,43235116546,-72095211613,-14253148264,21388714758,1.88754E+30
0,42,-68576417535,47308585364,34882234725,40104719914,44979421852,-76928094896,1.79583E+30
0,43,73546060270,58622376129,34606366507,88700723058,22875207315,71481850851,6.58977E+29
0,44,-79032046700,66162803983,21164683384,-55414643211,85469077935,67477456398,9.64599E+29
0,45,-40623839863,-65780318752,-15939595007,-67768819702,-20973617076,48395257204,1.96556E+30
0,46,74600926654,-42464169793,9523904368,38004807880,-66588409167,82200047543,1.23175E+30
0,47,63682795843,-30378946506,59875589442,75263351377,19927151638,-70805715627,1.40171E+30
0,48,-10711420394,10546477100,57610251699,36477159614,-86365310367,-16499808159,2.8361E+29
0,49,-22092370076,-26304672958,-12438073023,24388910109,-63096830804,8798987189,1.08985E+30
0,50,12553160397,82724267087,79772730952,63571888182,26136571244,-58132327489,8.62261E+29
0,51,15379857037,79940624741,-85047895607,-30150124866,29133304774,14018600858,1.86255E+30
0,52,588078352.7,-37290637571,78616254563,-43264738597,35324816883,-69969557878,1.90301E+30
0,53,-68717704431,62342827924,-88730187564,-71134346302,-13576688029,-58341032530,1.71153E+30
0,54,30841532769,-88143907025,-25350268971,-74404639106,-10843292017,78117234327,1.5464E+30
0,55,-52716455745,66338495785,79598576726,-78663434877,-84650185588,-41509561635,6.32263E+27
0,56,-87308805589,-41466580326,-26737486376,30543680084,-64622454719,55060203850,1.55608E+30
0,57,-34164369748,78255700687,32896993421,-43321869024,48910719582,45805084920,1.06684E+30
0,58,48680061871,57919563960,53677168547,88052690231,9026333187,37452812508,2.49881E+29
0,59,72671633982,27797516821,88803869196,-44205677178,41478262938,35608544806,1.59902E+30
0,60,22006228691,58466963294,-65688544563,26630049956,-33274255097,-61417928967,2.45916E+29
0,61,-56051926101,8699476128,57949491605,-53173142037,-43113788198,-30816852208,8.5937E+29
0,62,43556949938,53967614688,-56857288863,74126719791,-1003973492,51233117929,8.65603E+29
0,63,-3238157238,72633535373,-45663174313,-42678519762,47892683884,31825490973,1.69553E+30
0,64,63750102309,47277738343,40202892572,-86692538631,21930119155,88118136537,8.07372E+29
