step,id,x,y,z,vx,vy,vz,mass
0,1,-11540082278,-31573933795,66151116173,65916745830,5303067844,-67644438722,1.09962E+30
0,2,-63697865754,38139082382,30119941857,53181596502,56250895848,-25436461536,1.6402E+30
0,3,20255228753,41470255851,25934454585,-21105255396,65184749712,-51193178371,1.79526E+30
0,4,9740910455,-3827294106,-56340671220,72521179424,50650700203,-2486874198,1.70382E+30
0,5,59249153699,35672962319,-19151024610,26914410328,78740166305,22399727806,1.91713E+30
0,6,-85311677934,55540966599,-39856243467,-24379724239,-23380291615,18650986302,1.87001E+30
0,7,13615152389,-72350551968,51533520970,-45042622933,-89425629779,-9695967316,1.62297E+30
0,8,-23000451079,26632824372,-89937983789,2918277691,47288121034,11747415839,7.48755E+29
0,9,-29408352819,-28084836283,61548973778,41836939916,-86655553888,-48883276602,5.41524E+29
0,10,-81737027623,-55838606915,-38888841890,11041969899,-77083991969,-86832880574,4.54979E+29
0,11,-47502035169,-81905800948,-55872086859,48394660699,-31374781649,88019637089,1.24564E+30
0,12,11951311536,18083370725,-24264233164,23878175576,-17717508024,-26536891192,1.01198E+30
0,13,49342468163,-84338040694,32101796854,73150979923,-52981791283,24475346518,1.60175E+30
0,14,87239022335,-50465616509,25388388837,-50349021153,-24272990041,6132811945,1.93867E+30
0,15,-21227024797,-74664447169,-81675387469,-9538462750,-69503181727,-21124971811,2.3748E+28
0,16,-57974944269,-36641123550,68716108957,-84201473026,-56530432344,-70737779342,1.25626E+29
0,17,55236990151,3895993171,36246365809,67316067340,-28557654676,-30382304657,7.71018E+29
0,18,-49624704292,-56490262687,-73145054343,-59626467493,68868169148,-30894170655,6.92821E+29
0,19,-74343459327,89879171239,10127737708,43261034319,60911732356,-77859759127,9.49853E+29
0,20,-55598928974,-75031433706,25706347868,65233601654,-48953247370,-49543731500,1.11212E+30
0,21,40652628917,-21663543432,20264135615,29722739880,-46513305247,14686090127,1.76719E+30
0,22,-14164727322,44115591868,-64141401164,17227987685,27287444522,-76704732826,1.54217E+30
0,23,-18712748791,89307322092,64975667373,-117186732.4,38620150480,-21211798414,1.65278E+30
0,24,-58990280516,-22181606236,47516038588,39648428556,-41394381399,15972356373,2.28747E+29
0,25,-29725481611,-4231008918,-6570495916,-33720479474,75692445440,-24321210537,1.26022E+30
0,26,-64231975554,-14991236750,85665092070,-946064875.3,-73668488138,-64747783424,1.72926E+30
0,27,-16568428883,-89926006654,82940391002,-18019987652,-30073303659,81689729824,1.07369E+30
0,28,38696109805,19212203048,73429128435,69800302659,41061966681,-82834494819,1.47974E+30
0,29,-12482376228,-75866402342,73528659849,-27568258588,22737606235,28178038940,7.22684E+29
0,30,-25015749453,8357532056,26273540931,-21260349471,64211668381,89789795239,1.28316E+30
0,31,41205569932,-62829286527,-30574040148,-7664962079,-52213830064,-12958364285,1.32404E+30
0,32,35753666509,-47865135988,-8015890782,-69923410727,-83786292856,60911088848,2.01038E+29
0,33,-657270335.4,-21496771850,-38933086443,36899274087,-66293293105,67360555728,3.43777E+29
0,34,67873157725,23729247514,16036558660,20159828013,70685163357,-7738841428,5.19853E+29
0,35,36945974292,18895504949,-29578987272,-27280358505,36987905409,-35093612860,1.21692E+30
0,36,57822629935,-63575611315,-83414300065,-25903893167,-85207191795,7777358971,6.84511E+29
0,37,-19346953561,77848427386,-87551014970,6279796616,-7235803113,-64597828562,1.36024E+30
0,38,-50992894171,-84200994892,-70228939149,-2858126490,-81793324451,-73941483875,1.98301E+30
0,39,-68076097379,-34923135783,64710678097,42204416313,-84162343976,-3277374618,5.86969E+29
0,40,6761775583,52304321932,-21944201567,-28335056521,88348779956,-20235446556,3.31718E+29
0,41,-14500854237,86278581425,43235116546,-72095211613,-14253148264,21388714758,1.88754E+30
0,42,-68576417535,47308585364,34882234725,40104719914,44979421852,-76928094896,1.79583E+30
0,43,73546060270,58622376129,34606366507,88700723058,22875207315,71481850851,6.58977E+29
0,44,-79032046700,66162803983,21164683384,-55414643211,85469077935,67477456398,9.64599E+29
0,45,-40623839863,-65780318752,-15939595007,-67768819702,-20973617076,48395257204,1.96556E+30
0,46,74600926654,-42464169793,9523904368,38004807880,-66588409167,82200047543,1.23175E+30
0,47,63682795843,-30378946506,59875589442,75263351377,19927151638,-70805715627,1.40171E+30
0,48,-10711420394,10546477100,57610251699,36477159614,-86365310367,-16499808159,2.8361E+29
0,49,-22092370076,-26304672958,-12438073023,24388910109,-63096830804,8798987189,1.08985E+30
0,50,12553160397,82724267087,79772730952,63571888182,26136571244,-58132327489,8.62261E+29
0,51,15379857037,79940624741,-85047895607,-30150124866,29133304774,14018600858,1.86255E+30
0,52,588078352.7,-37290637571,78616254563,-43264738597,35324816883,-69969557878,1.90301E+30
0,53,-68717704431,62342827924,-88730187564,-71134346302,-13576688029,-58341032530,1.71153E+30
0,54,30841532769,-88143907025,-25350268971,-74404639106,-10843292017,78117234327,1.5464E+30
0,55,-52716455745,66338495785,79598576726,-78663434877,-84650185588,-41509561635,6.32263E+27
0,56,-87308805589,-41466580326,-26737486376,30543680084,-64622454719,55060203850,1.55608E+30
0,57,-34164369748,78255700687,32896993421,-43321869024,48910719582,45805084920,1.06684E+30
0,58,48680061871,57919563960,53677168547,88052690231,9026333187,37452812508,2.49881E+29
0,59,72671633982,27797516821,88803869196,-44205677178,41478262938,35608544806,1.59902E+30
0,60,22006228691,58466963294,-65688544563,26630049956,-33274255097,-61417928967,2.45916E+29
0,61,-56051926101,8699476128,57949491605,-53173142037,-43113788198,-30816852208,8.5937E+29
0,62,43556949938,53967614688,-56857288863,74126719791,-1003973492,51233117929,8.65603E+29
0,63,-3238157238,72633535373,-45663174313,-42678519762,47892683884,31825490973,1.69553E+30
0,64,63750102309,47277738343,40202892572,-86692538631,21930119155,88118136537,8.07372E+29
0,65,8431742420,-39252328777,-75420832271,38831225267,-39954577798,-59997085343,1.71786E+30
0,66,-79206271251,-71735352118,-37757225945,58158761899,-85960093559,-16589598402,2.48179E+29
0,67,-79030216998,85921502995,-84621578251,22730354441,-7863654958,-61010203923,1.59675E+30
0,68,37697061807,-85582400779,86888862462,78350541108,-37068777264,87868195975,5.43063E+29
0,69,62577566423,-53115205875,-64399245023,58141773122,-51032567870,-29763975089,1.0658E+30
0,70,-64535961177,-22181709988,45276844436,53584391717,-80312156256,-11587757145,5.28791E+29
0,71,-22211758204,2787096835,-59345825989,64384464844,-49939807885,68286323399,7.60845E+29
0,72,19372996265,-33204388137,68180440358,33252648161,-53557646501,-29225744733,6.06143E+29
0,73,-17965311767,63623252346,-47404920624,-78773466165,-89774012379,67010605649,1.06419E+30
0,74,-60906099114,44593086899,-88935243837,-30101256601,-75415497931,20962971810,4.42534E+29
0,75,-15040315627,58110678441,89488636797,-79516769237,-15425182022,34221860647,1.08497E+30
0,76,41617120560,10756497172,-51721604877,67411017331,87405196849,87798153390,6.24745E+29
0,77,79694040626,-73818900523,-47979658493,-87871673443,31575178050,-67550463109,1.62678E+30
0,78,88565346873,3702893734,-44241314778,76698240290,11697057960,64641712198,8.79058E+29
0,79,-27386177250,-11809530794,4203927606,17091072060,-86812176741,61702752005,2.17881E+29
0,80,-83566968197,-34938738293,-64840437350,-77213208898,27930072467,13709219758,6.97802E+29
0,81,-50252108131,47267398263,-31746676255,87289871202,881458663.5,-82500859456,1.57585E+29
0,82,-60354702874,-22121038538,50221845239,17845627516,-71906538930,-69026150881,1.15824E+30
0,83,82042187403,-15088145294,-8715904931,-28792241428,-29501551926,14251411980,1.12054E+30
0,84,-7949105436,-8333092071,-11509235924,-55413247911,-75857296412,-46321237015,3.39212E+29
0,85,-17902629700,-26977865925,13482412051,-89556400271,-32526121615,295276443.4,6.23204E+29
0,86,-87438428846,-82489497812,-51854326826,-36194853563,-21786860934,45852820655,6.36216E+29
0,87,-80218504411,-52030336230,73727256283,-50823094354,86821382194,46408664462,9.61035E+29
0,88,-74877287705,76102076747,40742257565,-51486326311,88359327775,59978400330,1.20707E+30
0,89,-16720315337,-85842429439,69374287159,-15636956333,-80415600946,84613625600,1.84795E+30
0,90,-17952120263,30554632266,16077429887,-24805236428,-49447990579,5089116947,1.16298E+30
0,91,15677750132,-74309731148,-77992678862,-80270523769,49111559702,-11631272262,1.61155E+30
0,92,-27027483016,-65764478638,-64827520251,-89867854478,-10987939983,-46921059904,1.527E+30
0,93,5087057447,55347870216,-69563813763,51272672088,36550179541,-81048908298,5.07741E+29
0,94,29279679032,-8387407578,-38469915321,-4397683737,-47316333675,5883338799,1.64153E+30
0,95,-21397066640,464838.3456,-83932760055,85959145280,-24638107619,15893739241,5.09584E+29
0,96,-4176620507,-12765706700,-70644000105,-33103242259,55746390144,66446824934,1.00325E+30
0,97,67049147800,50913897146,-16004411458,78713030738,-60550309186,41785182798,1.9899E+29
0,98,38122786763,-55530906046,-59653667918,56712446091,54538638474,46020216830,4.79216E+29
0,99,48496153575,76089907139,35765612099,65526468713,38645749227,-16445277422,4.5192E+29
0,100,43923090027,51508471261,-42073418989,-31610505891,62112638198,-665056464.9,1.70875E+30
0,101,3950883365,-149960498.4,-83280802030,-47341899207,28844558171,-16441748092,1.71657E+29
0,102,-16883384338,57391680953,9488638157,-36208797531,4863557791,-72419566165,1.07575E+30
0,103,8401128868,82314051476,-17801473644,13388644298,41976110833,64345803455,9.27877E+27
0,104,-30509619646,-4560639397,33207202570,-64686740513,-36726671116,86864710048,9.54741E+29
0,105,-5442424504,-81760024438,-57406858266,4681726603,43298971248,80933454477,1.84106E+30
0,106,21613871965,-64513022276,56427200786,-65424830042,-29217866513,86967160776,1.6582E+30
0,107,85171885746,50884449938,17318533500,86351800008,30153231526,-16281365291,6.81018E+29
0,108,48403619019,-311991167.6,67398905535,-47211633854,-68851727466,21696265631,4.63131E+29
0,109,32719171513,-7891788427,12286176284,-35030007999,-82651429917,-16130691900,3.087E+28
0,110,27498666645,-40589322186,41297679649,-70387959372,55379853350,78044171869,1.75191E+30
0,111,52518561448,-45106744110,74272617957,-86257315633,-70227303562,-58916175000,6.53503E+29
0,112,-38446219902,82880912624,-34999636019,48498868351,-25580735914,-73416305222,2.99438E+29
0,113,67025549274,-21245707492,68817866613,-82023606797,-37409326681,-58940248655,1.05016E+30
0,114,68904845620,4728190763,73000549517,-42900540453,-6765831498,40182378093,1.36707E+30
0,115,-4934872959,-57781139308,-44118988547,-36503427694,33565785514,56826308550,8.23695E+28
0,116,10783593951,39469787224,-20869965380,-68764364663,-64183685088,-37887877108,1.97131E+30
0,117,60184690303,-50383452616,-40546444435,42516745534,-39432292775,14286524071,1.17022E+30
0,118,57356431629,41222793607,65414033140,80269033853,-71187813192,88011710314,1.58462E+30
0,119,-62908989972,31859467868,63678789052,77958358951,50243952494,87881505500,1.18804E+30
0,120,29334775705,81562334108,-69577215511,-49616957276,-15892806456,-1086400185,8.57535E+29
0,121,-15704348499,-67287733720,-1252000577,-76899358829,41115719026,-22769187005,8.42241E+29
0,122,80752081916,-43551846384,24892382878,-19637614194,-12342399680,-15324820725,6.40596E+29
0,123,84628365172,3241580013,-15057942872,38693615966,66019351019,-60080874231,1.35502E+29
0,124,-48274828434,1520753025,72172836042,1896104119,-36787717323,28658572765,1.7047E+30
0,125,-6811826980,17701139851,-17340399610,64296366970,-35150111769,-709035213.7,8.50029E+28
0,126,-82384589832,-47177881073,85221460635,-46753869115,-4711148193,65382036937,1.83719E+30
0,127,54586987017,74050143687,50120632031,44606568119,-31026747911,-70818465629,6.63518E+29
0,128,-67022301449,-62874986581,-49605055338,-8685005980,-34133521128,53119905685,3.13274E+29
